0,2249,2490,2567
1,2050,2374,2597
2,1988,2221,2584
3,1954,2029,2399
4,1931,1896,2182
5,2060,1925,2074
6,2253,1988,2013
7,2450,2085,1985
8,2524,2225,1987
9,2565,2430,2162
10,2586,2574,2372
11,2450,2556,2500
12,2268,2495,2571
13,2067,2375,2598
14,2014,2231,2581
15,1978,2052,2408
16,1956,1923,2198
17,2086,1953,2097
18,2267,2013,2045
19,2459,2107,2014
20,2535,2245,2015
21,2573,2438,2180
22,2593,2582,2379
23,2456,2565,2511
24,2257,2501,2581
25,2058,2385,2608
26,1991,2230,2594
27,1952,2029,2400
28,1929,1899,2193
29,2065,1924,2078
30,2249,1986,2019
31,2457,2091,1991
32,2530,2229,1990
33,2571,2428,2158
34,2592,2584,2378
35,2462,2567,2505
36,2265,2502,2578
37,2071,2385,2600
38,2005,2232,2590
39,1970,2045,2407
40,1947,1921,2203
41,2088,1951,2093
42,2259,2006,2041
43,2459,2106,2012
44,2525,2231,2005
45,2563,2431,2171
46,2583,2573,2378
47,2458,2559,2502
48,2256,2493,2577
49,2071,2382,2599
50,2005,2231,2584
51,1964,2039,2400
52,1938,1908,2193
53,2078,1941,2086
54,2251,1996,2033
55,2471,2105,2002
56,2540,2237,2004
57,2576,2441,2173
58,2584,2574,2371
59,2456,2566,2509
60,2265,2501,2580
61,2085,2388,2604
62,2030,2231,2587
63,2000,2064,2412
64,1976,1937,2201
65,2110,1973,2103
66,2287,2033,2060
67,2481,2135,2031
68,2545,2257,2031
69,2589,2469,2219
70,2603,2595,2406
71,2462,2572,2523
72,2263,2508,2589
73,2066,2390,2614
74,1999,2228,2593
75,1964,2046,2418
76,1940,1905,2189
77,2069,1934,2081
78,2254,1995,2025
79,2454,2096,1997
80,2525,2229,1998
81,2566,2436,2174
82,2584,2569,2366
83,2437,2551,2501


