2249,2490,2249,0
2050,2374,2050,1
1988,2221,1988,2
1954,2029,1954,3
1931,1896,1931,4
2060,1925,2060,5
2253,1988,2253,6
2450,2085,2450,7
2524,2225,2524,8
2565,2430,2565,9
2586,2574,2586,10
2450,2556,2450,11
2268,2495,2268,0
2067,2375,2067,1
2014,2231,2014,2
1978,2052,1978,3
1956,1923,1956,4
2086,1953,2086,5
2267,2013,2267,6
2459,2107,2459,7
2535,2245,2535,8
2573,2438,2573,9
2593,2582,2593,10
2456,2565,2456,11
2257,2501,2257,0
2058,2385,2058,1
1991,2230,1991,2
1952,2029,1952,3
1929,1899,1929,4
2065,1924,2065,5
2249,1986,2249,6
2457,2091,2457,7
2530,2229,2530,8
2571,2428,2571,9
2592,2584,2592,10
2462,2567,2462,11
2265,2502,2265,0
2071,2385,2071,1
2005,2232,2005,2
1970,2045,1970,3
1947,1921,1947,4
2088,1951,2088,5
2259,2006,2259,6
2459,2106,2459,7
2525,2231,2525,8
2563,2431,2563,9
2583,2573,2583,10
2458,2559,2458,11
2256,2493,2256,0
2071,2382,2071,1
2005,2231,2005,2
1964,2039,1964,3
1938,1908,1938,4
2078,1941,2078,5
2251,1996,2251,6
2471,2105,2471,7
2540,2237,2540,8
2576,2441,2576,9
2584,2574,2584,10
2456,2566,2456,11
2265,2501,2265,0
2085,2388,2085,1
2030,2231,2030,2
2000,2064,2000,3
1976,1937,1976,4
2110,1973,2110,5
2287,2033,2287,6
2481,2135,2481,7
2545,2257,2545,8
2589,2469,2589,9
2603,2595,2603,10
2462,2572,2462,11
2263,2508,2263,0
2066,2390,2066,1
1999,2228,1999,2
1964,2046,1964,3
1940,1905,1940,4
2069,1934,2069,5
2254,1995,2254,6
2454,2096,2454,7
2525,2229,2525,8
2566,2436,2566,9
2584,2569,2584,10
2437,2551,2437,11
